# Content inventory — basis for Phase 2 front matter (primary_cluster scheme, NOT Hugo taxonomies).
# Columns 9-11 (primary_cluster / related_clusters / cta) are the REVIEWER-APPROVED BASELINE (2026-08-01): 12 rows re-clustered, 2 CTAs adjusted from the original proposal.
# cta: advisory = pillar CTA -> /advisory/#projects; subscribe = newsletter entry only; none = draft or no-CTA layout.
# Baseline approved 2026-08-01 (original proposal at 25cb4fe); regenerate/update on content changes.
title	source_path	url	lang	type	draft	canonical	current_cta	primary_cluster	related_clusters	proposed_cta
Everyone Is Betting on AI — But Almost No One Asks: Where Are You Standing?	content/blog/2026-04-26-everyone-is-betting-on-ai-but-almost-no-one-asks-where-are-y.md	/blog/2026-04-26-everyone-is-betting-on-ai-but-almost-no-one-asks-where-are-y/	en	blog article	false	medium	advisory (template)	capital-and-society	ai-infrastructure	advisory
When AI Scales Knowledge, Humanity Becomes the Bottleneck	content/blog/2026-05-01-when-ai-scales-knowledge-humanity-becomes-the-bottleneck.md	/blog/2026-05-01-when-ai-scales-knowledge-humanity-becomes-the-bottleneck/	en	blog article	false	medium	advisory (template)	capital-and-society		subscribe
Copper Is Running Out of Room. But Light Has a Manufacturing Problem.	content/blog/2026-05-07-copper-is-running-out-of-room-but-light-has-a-manufacturing.md	/blog/2026-05-07-copper-is-running-out-of-room-but-light-has-a-manufacturing/	en	blog article	false	medium	advisory (template)	semiconductors	ai-infrastructure	advisory
AI Infrastructure Is Not One Trade	content/blog/2026-05-23-ai-infrastructure-is-not-one-trade.md	/blog/2026-05-23-ai-infrastructure-is-not-one-trade/	en	blog article	false	medium	advisory (template)	ai-infrastructure	semiconductors	advisory
AI Needs a Place to Land	content/blog/2026-06-06-ai-needs-a-place-to-land.md	/blog/2026-06-06-ai-needs-a-place-to-land/	en	blog article	false	medium	advisory (template)	ai-infrastructure	semiconductors,robotics	advisory
AI Is Getting a Ticker, an Agent, and a Body	content/blog/2026-06-08-ai-is-getting-a-ticker-an-agent-and-a-body.md	/blog/2026-06-08-ai-is-getting-a-ticker-an-agent-and-a-body/	en	blog article	false	medium	advisory (template)	capital-and-society	robotics,ai-infrastructure	advisory
Everyone Wants the Next AI Stock. I’m Looking for the Next Physical Bottleneck.	content/blog/2026-06-10-everyone-wants-the-next-ai-stock-im-looking-for-the-next-phy.md	/blog/2026-06-10-everyone-wants-the-next-ai-stock-im-looking-for-the-next-phy/	en	blog article	false	medium	advisory (template)	ai-infrastructure	semiconductors,capital-and-society	advisory
AI 需求沒有消失，但價格開始接受壓力測試	content/blog/2026-06-29-ai.md	/blog/2026-06-29-ai/	zh	blog article	false	medium	advisory (template)	ai-infrastructure	capital-and-society	advisory
The AI Capex Money Map v0.2 — America Spends. Who Actually Keeps the Margin?	content/blog/2026-07-03-the-ai-capex-money-map-v02-america-spends-who-actually-keeps.md	/blog/2026-07-03-the-ai-capex-money-map-v02-america-spends-who-actually-keeps/	en	blog article	false	medium	advisory (template)	ai-infrastructure	semiconductors,capital-and-society	advisory
When AI Leaves the Screen: Will We Need a Worker, a Caregiver, or a Companion First?	content/blog/2026-07-11-when-ai-leaves-the-screen-will-we-need-a-worker-a-caregiver.md	/blog/2026-07-11-when-ai-leaves-the-screen-will-we-need-a-worker-a-caregiver/	en	blog article	false	medium	advisory (template)	robotics	bio-ai,capital-and-society	subscribe
Everyone Is Counting Tokens. Watch the Bandwidth That Gets Paid	content/blog/2026-07-21-everyone-is-counting-tokens-watch-the-bandwidth-that-gets-pa.md	/blog/2026-07-21-everyone-is-counting-tokens-watch-the-bandwidth-that-gets-pa/	en	blog article	false	medium	advisory (template)	ai-infrastructure	semiconductors,capital-and-society	advisory
AI Drug Discovery Is Not Just About Speed	content/blog/ai-drug-discovery-speed.md	/blog/ai-drug-discovery-speed/	en	blog article	false	none	advisory (template)	bio-ai		subscribe
The Bottleneck Nobody Is Pricing In: Where AI Compute Really Breaks	content/blog/bottleneck-nobody-is-pricing-in.md	/blog/bottleneck-nobody-is-pricing-in/	en	blog article	false	none	advisory (template)	ai-infrastructure	semiconductors	advisory
What Are CoWoS, HBM, and ABF - And Why Do They Matter So Much in the AI Era?	content/blog/cowos-hbm-abf-explainer.md	/blog/cowos-hbm-abf-explainer/	en	blog article	false	none	advisory (template)	semiconductors	ai-infrastructure	advisory
Interface Control May Matter More Than Website Ownership	content/blog/interface-control-brand-power.md	/blog/interface-control-brand-power/	en	blog article	false	none	advisory (template)	capital-and-society		subscribe
Trust Still Comes Before Efficiency	content/blog/trust-before-efficiency.md	/blog/trust-before-efficiency/	en	blog article	false	none	advisory (template)	capital-and-society		subscribe
AlphaFold 3 and the Future of Drug Discovery	content/blog/thoughts/2024-12-first-thought.md	/blog/thoughts/2024-12-first-thought/	en	blog article	false	none	advisory (template)	bio-ai		subscribe
2025 AI晶片產業趨勢	content/insights/2025-ai-chip-trends.md	/insights/2025-ai-chip-trends/	zh	insight	false	none	advisory (template)	semiconductors	ai-infrastructure	advisory
2025 Semiconductor Trends	content/insights/2025-semiconductor-trends.md	(draft — not built)	en	insight	true	none	none	semiconductors		none
Infrastructure-Led Leading Indicators in Technology Investment Cycles: Evidence from the Semiconductor Industry	content/insights/infrastructure-led-indicators.md	/insights/infrastructure-led-indicators/	en	insight	false	none	advisory (template)	semiconductors	ai-infrastructure,capital-and-society	advisory
Welcome to My Research Portfolio	content/posts/welcome.md	/posts/welcome/	en	post (no CTA layout)	false	none	none			none
